3067;8365;0.597729
0;7899;0.632992
0;6126;0.816193
0;7144;0.699888
0;6984;0.715922
0;5529;0.904323
0;8028;0.62282
0;11493;0.435047
0;6746;0.74118
0;6396;0.781739

0;7106;0.703631
0;6560;0.762195
0;6386;0.782963
0;6997;0.714592
0;7446;0.671501
0;6304;0.793147
0;7645;0.654022
0;7021;0.712149
0;6579;0.759994
0;6038;0.828089

916;5409;0.924385
0;5262;0.950209
0;7334;0.681756
0;8983;0.556607
0;7686;0.650533
0;6710;0.745156
0;5300;0.943396
0;4812;1.03907
0;5576;0.8967
0;6938;0.720669

8256;2607;1.91791
0;4274;1.16986
91;4179;1.19646
0;6681;0.748391
0;2904;1.72176
0;4144;1.20656
0;3283;1.523
0;2208;2.26449
0;4113;1.21566
0;4262;1.17316

1873;1143;4.37445
0;1128;4.43262
19;1052;4.75285
0;1876;2.66525
0;1354;3.69276
0;1576;3.17259
0;1229;4.06835
0;1257;3.97772
0;1795;2.78552
0;1371;3.64697

13052;596;8.38926
0;910;5.49451
1079;2034;2.45821
0;743;6.72948
0;700;7.14286
0;627;7.97448
0;672;7.44048
0;659;7.58725
0;776;6.4433
0;946;5.28541

46558;463;10.7991
0;421;11.8765
87;637;7.84929
0;619;8.07754
0;525;9.52381
0;404;12.3762
0;371;13.4771
0;423;11.8203
0;449;11.1359
0;418;11.9617
